class,id,text
notsarc,20,"obama is just a trojan horse for mccain to win. there is no choice, it's an illusion. indeed, the entire democratic party has become a trojan horse for the republicans. pity. if they were smart, they'd unite behind the edwards/clinton health plan which is backed by many reputable democratic party senate members, medical professionals, and noted economists. in the meantime, whoever wins the nomination, i won't support them if they don't (get behind it). mr. obama, darling of the republicans, and health care chicken. 'no we can't.' with 18,000 americans dead every year on american soil. well, mr. obama, there are moral mandates: http://www.youtube.com/watch?v=9ow9ydlliy8 and with every other wealthy nation on this planet managing (and much poorer than ours), yes, we can."
notsarc,21,"no darling, nobody has mentioned all those things but since you mentioned them ... yes, a baby could be a terrible incovenience in obtaining all those things you want, sorry need, such as education, a job, a secure financial future, feeling safe, makings your dreams come true etc etc etc. if your uterus is your greatest gift, then be careful to whom you give it, namely keep your legs crossed until mr righy shows up. :)"
notsarc,22,"if i'm spamming a petition, then you're spamming paul krugman, darling. and i've put up plenty of rational arguments with citations. you, on the other hand, have yet to propose one reason why single payer is ridiculous. because we elect representatives to do what we say, not what the lobbyists bribe them to do. you still haven't said anything besides 'stupid', 'ridiculous', and 'maoist' or 'socialist', which is usually what people say about the few politicians who aren't on the take. emoticonxgood"
notsarc,23,"lazy jason, darling, but you very sadly lack one item of attractiveness, the freshness and beauty of innocence."
notsarc,24,"simone darling, please stop. your making yourself look foolish. your trying to compare uniformed soldiers in an organized military under civilian gov't control to terrorists. there is no comparison to be made here, even you should be able to see that. huh? the u.s. military dismantled some of our bases in saudi arabia based on a prearranged schedule at the behest of the saudi government. it had nothing to do with 'capitulating to the taliban', nor did we remove all of our bases. yes simone, we still have military bases in saudi arabia."
notsarc,25,gitmo is a media darling. nobody talks about abu ghraib. and it is still in operation see what the obama admin thinks about closing that one. not a fucking word. enjoy the grandstanding.
notsarc,26,"you calling me a diseased freak ?  oh , darling . thats okay . we will forever and ever be married . but now you have to buy me a new pillow"
notsarc,27,"because all children should have parents who want them dearly.btw, ""moral relativism"" is absurd. a phase people pass through as they discover diversity and is bewildered by it, thinking all are equally valid. it is a stance of both immature/superficial reasoning and moral depravity. "
notsarc,28,"Actually, I've been posting more than ever...just not here. This place has become gay central and it bored me. I posted the above because I knew it was a topic near and dear to both of our hearts. emoticon_xkill emoticon_xgood "
notsarc,29,"Oh deary me, no. Where do I even start?The bacteria and enzymes in your gut and intestinal tract that digest food are every bit as microscopic, and they thrive on specific compounds, not elements. Sugars and fats are plain old carbon, hydrogen and oxygen. You could get exactly the same atoms into your body by drinking water and eating graphite - and you'd die. Can you digest cellulose? No - but other animals can, because they have enzymes that can break it down. It's still all just carbon, oxygen and hydrogen - but that's like saying everybody's front door key is just 'brass'. It isn't the fact that it's brass that unlocks your door, it's the shape it's formed into :) "
notsarc,30,"Here is what fascinates me about the judgmental criticism you offer of my opinion. In typical fashion you make claims which you don't support at all. Here is my post below, point out WITH EVIDENCE!!! what I am distorting in any way; especially that which I hold dear. In other words, write a cogent and rational post which makes sense when applied to the quoted post it intends to attack. emoticonXDonno "
notsarc,31,"Then you freely admit that you lied when you said this, and I quote: People like Arch are setting it as opposed to science and in that position it will be doomed to fail.   AND   Arch is doing nothing but distorting the very thing he holds so dear, I mean, how is accurately quoting passages from the bible distorting it in any way? You do nothing but post drivel which makes no factual statements at all. And you call that debating? "
notsarc,32,"correct, of all the freedoms most dear is the right to be left to **** alone."
notsarc,33,"and that dear freedom is the beauty of the human imagination. one day someone may stumble upon the answer, and their not going to do it being home schooled, as your donation society would only allow for."
notsarc,34,i agree with you dear... good reply of question... :)
notsarc,35,he was in indonesia dear. read his xxxx (my marks) i thought he was as old as the devil??
notsarc,36,"dear easyride, although i grew up in annapolis, i never went into the military. the rank of captain is maritime. currently, i run a tourboat in miami. while not strictly a battle field, we see plenty of action. thanks for the help. dear greg, although i would love to cruise through the boards to learn why people become creationists; i don't have the time. i have this poll posted at nearly a dozen other sites and counting.  the demographic information, as well as why, is an attempt to find a statistical thread running through the creationist community."
notsarc,37,oh dear lord...the onion is why i wake up in the mornings. they're talking about making it a pay site though. my world would just crumble.
notsarc,38,"again, you speak as if gays and lesbians are not worthy of their relationships being sacred to them. as if gays and lesbians are unable to hold dear any concept of commitment, loyalty, partnership.  what a sad and mean little man you are."
notsarc,39,"[quote=matthew s]xxxxx as folk all the way. too bad it has ended :( i loved the show boston common when it was on. quote] qaf was awsome. the l word is good too, but it seems to have a high turnover in it's cast. boston common was wonderful. the guy from yes, dear is in it and he is so funny."
notsarc,40,"ez, can you cite an actual case where the aclu has intervened on behalf of nambla? the only person or persons with close associations to nambla that i can bring to mind is the notorious father paul r. shanley who molested countless children and was carefully sheltered under the wing of the notorious his eminence bernard francis cardinal law who was finally ousted from his cardinalship by a multitude of angry roman catholic parishioners in the boston area. dear his eminence bernard francis cardinal law was immediately taken and sheltered under the wing of the vatican and scooted over the pond to several administrative posts of the roman curia, where he was also named as archpriest of the basilica di santa maria maggiore, one of the five major basilicas of the roman catholic church."
notsarc,41,"i'm in total agreement with that statement. unfortunately, parents are passing that mindset on to their children. the us experienced a decline in college enrollment in 2005, which speaks volumes about us lower education and personal motivation, at the very time other nations have accelerated their production of graduates in science and engineering. we'll end up paying a dear economic price for that circumstance.  on the bright side, we have a large surplus of business majors to manage our service industry, the down side being their lack of basic reading and writing skills."
notsarc,42,"dear lisa, i want to tell you you're hot. hot as in every way possible. in fact, you should eat some peyote while you dance the tarantella. the way you smell like a goddess in heat makes me want to email you and ask you if you would consider this proposition: if you'll remove that top button i would have enough nerve to"
notsarc,43,"that's not because of something i did. that's because of something that happened back in the 1950s, i believe. that's fine--go ahead and be offensive! it will only hamper your efforts because it only makes people angry at you when you belittle things they hold dear. but what about religious people that aren't out to do that to you and your family? if the govt. endorses a religion, remove the endorsement! that's fine. you're still willing to be offensive to all religious people because of fundamentalists (which are really the ones doing what you describe!). you can be as offensive and show as much lack of respect as you want. it's only going to make it harder on you to convince people."
notsarc,44,"hello there, my dear fellow, you're using a 19th century definition for a 21st century subject. it doesn't work. what you're writing is pure drivel. there is the caucasian group which you initially mention, then you misuse the terminology, actually meaning the sub-ethnicities of the caucasians. no doubt you're one of those sadly misinformed individuals who believes that 'muslim' is a race. the state of education is surely at an all time low-and getting lower no doubt. cheers from the rockies emoticonxkill emoticonxhoho emoticonxcry emoticonxkill"
notsarc,45,"archie, dear, most of those who promote dominionism want to return to the laws of the old testament. the same rules that found eating shellfish to be an abomination. to learn more, you can read this: http://www.chalcedon.edu/ebook/godsplanforvictory.pdf"
notsarc,46,"my dear; sweetie; (and any other ridiculous and intentionally patronizing words you regularly use) i don't support the gop. i think both parties are corrupt. you on the other hand, seem to have sold your soul to the dnc a long time ago."
notsarc,47,"100% because it's programmed to do that. note that when you pick a color for your number, you have narrowed the programs choices to five. note the groupings of the like colored numbers and you will see that when you get ready to pick your house that each of the numbers in your color range has been placed in a different house. (this applies to all color groupings. they've also added numbers 26 thru 30 which do not appear in the original array.) when you pick your house (if your honest about it) the program knows your number. it then displays that number behind the first door that you click on, regardless of which one of the three doors you choose. elementary, my dear watson! some people just hate to see christians having fun?"
notsarc,48,"my dear, i can see the wood for the trees. no-one expects perfect parents, but no parent should dictate school policy. and this guy was a bad example."
notsarc,49,"et illos conservaverunt dei, et filios caros sui ipsorum tutabantur. and the gods saved them, and protected and nurtured their own dear children. -"
notsarc,50,"sartre! you are a dear prince! i can't believe i said that, but thanks!"
notsarc,51,and i strongly dispute that albert einstein was a bundle of emotions too. who says he didn't have emotions?? it is just that he is not a bundle of it. and also i think music is a bundle of emotions and not man. because music generates emotions and it is not wrong that dear mr. alberto was a music lover but that doesn't mean he is a bundle of emotions!!!!!!!!!!
notsarc,52,thank you my dear. i am going to fight like hell for happiness. i am damn stubborn like that.
notsarc,53,"dear marga,  tama man pud si kyle na what if ang mga private companies ang mamamalakad sa ating bansa? what if kung wala sila'y control sa ating likas na yaman? nya naa lage mo freedom kung unsa inyong gusto, hala sige kuhaa tanan aron mahatag sa mga nangangailangan, kay ngano kung naa pay muabotay na mga bagyo, naa pa kaya'y makuha na mga produkto para mahatag ninyo sa uban nangangailangan kung ginaabuso na ninyo ang pagkuha sa mga likas na yaman??? kay wala man magpugong sa inyo diba? kay wala naman mo ginapugngan sa gobyerno. dapat pd siguro isipon nato ang kapakanan sa next generation no? meheheheheheheh~ tama ba ko?? xd hahahahaha #hashtagbored #joiners"
notsarc,54,"our world is entering a new zenith of intelligence. and technology has brought us thus far. from the humble wheel to the advanced smartphones, technology is at our side as we grow into ever intelligent creatures. laziness is not induced by technology, my dear opponents, there is no technology that can change your attitude to anything. there are those that use technology to the fullest, there are those who become couch potatoes. but technology's impact on our race and our civilisation is impossible to neglect. you owe this opportunity of coming online and debating solely to technology and the advent of the internet, technology defending champion."
notsarc,55,"the rights of the collective must not take away the rights of the individual. how would you like your private choices to be dictated by other people? freedom is a right, even for you. i would defend to the death your right do whatever as long as you don't violate other people's rights, and i want the same in return. if we take away individual liberty, society as a whole dies away because the individual has no voice, no recourse, no means of obtaining freedom, and that my dear is not the type of society that i am willing to live in. all due respect to you of course."
notsarc,56,"firstly, my dear opponent is not well informed. because all public houses have there medical workers. and if there 'worker' is infected they do not let him work at their public house and that checking is held twice a month. so that's infecting is impossible. never the less honor is the most important thing for girls in kazakh families. ans having such kind of relations for her is unforgivable i think. i think that all people do not satisfied in lower salary. and kazakh people will want to take higher places in their working place. and have career growth. and so they may as managers and gain skills by them self while people from africa will do all 'dirty' work."
notsarc,57,"loool justin bieber?! oh that is a sad thing to believe :p dear boy (obviously) whitney houston beats michael jackosn demi lovato beats justin bieber karen carpenter beats every singer on earth<3 opera is the most powerfull woman on earth, obama is said to be the most powerfull man on earth, but i seriously think that opera wins this one too. she's a rolemodel, idol, inspiring woman. love her <3"
notsarc,58,"dear thetruth, i have posted it as a serious topic. and of course it is meant to get people talking, thinking and arguing. if you were watching/listening to the trump press conference that obama brink into the middle of (beceause he was getting slaughtered), you would take this seriously. btw, on may 23rd (the day after he finisheds the last apprentice show), we can expect some announcement! what it will be i don't know, but i bet it will be trump confirming he will run for president. andy"
notsarc,59,"dear terry here, please see my post on the other side of this debate. you may think that nothing happens after you argue a debate, but that is just the start. so much more happens after a debate is created and argued. people around the world look at the debates and learn from them, make decisions because of them and create additional debates. your input can change the world. andy"
notsarc,60,"my dear zephyr, when engaging with a probable troll don't let them excite your ire too much. unless you enjoy having your ire raised of course. they're not worth it on their own. ;)"
notsarc,61,good u not lied in 1 yr ....good progress.....but till what time.....? life can show any moment at any time......no one knows about it....not lieing is good but sometimes your truth can kill or hurt someone dear.....
notsarc,62,"dear noob, i chose the anthem as a song which describes me. however since i am reforming this site into a more democratic community i shall make a debate seeking for a new one."
notsarc,63,"you said, and i quote, 'she banned me, how dare she. i am judas.' that, my dear adversary, is not a logical argument. ;)"
notsarc,64,"'are we being literal or figurative here?' dear awen , its however you like to see it.  ps, thankyou for asking. again , have a good day :)"
notsarc,65,"lol dear god, i knew it, jking, but you know some will, i know you enough though your debates to feel you get what im saying, you always been logical and a reasonable person to tak too."
notsarc,66,"i support consensual euthanasia, my dear. people have the right to die with dignity and they have the right to bodily autonomy."
notsarc,67,"correct. i was giving an analagy and it went wrong, my dear."
notsarc,68,"dear downvoter: if you disagree with my argument, why not actually argue against it? do you assume you would lose?"
notsarc,69,"hello my dear!  what do you think people should live in a peaceful world?  as you know george washington is cruel man who did a lot of bad things in order to be success, to get high position? you know that a lot of people died from washington? most people from iran and irak suffered more distress and you can not imanige that situation. what about the twin towers? maybe you think that that accident was by muslin people? no, it was not! of course washington did it in order to substitute muslim men"
notsarc,70,dear gawd that made me die laughing an blush. i'm going to hell for laughing...
notsarc,71,gay marriages should be allowed and there should be not hinderence to it dear. y do you wanna become an obstacle in their way. some men have it internally and if they do then let them. y are we to be bothered??
notsarc,72,"that is a pretty good analogy. the declaration of independence is a fairly out-dated draft, yet americans still hold dear it's core message that is represents.  i am sure the royal family must have some simlar representation to the british public, like that of british strength and endurance thoughout the ages."
notsarc,73,freedom dearie are you serious about pepper spray? just yesterday i presented a story where a taser and bean bag rounds from a shotgun did literally nothing against a 68 year old with a bad heart condition. what can a cheap chemical agent do against an adrenaline charged youth who's got more vitality and health on his side than a senior citizen in new york?
notsarc,74,"i've gotten laid a number of times already winston dearie. and every single time the results are messier than trying to help my cousin change the oil in his car. plus it doesn't help that every single one of them is a bad **** and so full of themselves they don't know how to take a cue. and i can tell you first hand that size does matter. but is has to be the proper size for that saying to actually mean anything. there's such a thing as too big, too small or just plain too ergonomically unsound to work. come back when there's a set of teethmarks in the headboard that don't belong to either you or the dingo. then we'll talk."
notsarc,75,matthew dearie you really need to stop whining about your deviant position not being considered the norm or even recognized by the norm. some people in life are just gonna be wrong no matter what and currently you're it.
notsarc,76,"see what i mean, and there are 2 f's in d-i-f-f-e-r-e-n-t, dearie."
notsarc,77,eureka kitchen nightmares true blood falling skies hell's kitchen master chef hardball w/ chris matthews judge judy so you think you can dance
notsarc,78,"you mean 'junk dna' ? i think it's more than 20%, more like 95% http://en.wikipedia.org/wiki/junk_dna http://www.eurekalert.org/pub_releas...-jdy052804.php http://www.newscientist.com/news/news.jsp?id=ns99995063 i don't think that's what the poster was referring to, i really think he/she was ignorant of what scientists really know. basically, the fact that its there points me in the direction of evolution. also the fact that there are conserved regions of dna within codons and exons points me toward evolution as the explanation. oh, now i see! of course they know what their own acronym stands for. they also know why they named the bases a (adenine) g (guanine) t (thymine) c (cytosine) u (uracil). they named them when they were discovered. i think the poster was saying they don't know how they work, which is quite false. of course, the mechanism of protein transcription has been known for quite some time."
notsarc,79,re: 'reparative therapy': http://www.fair.org/extra/0109/gay-change.html http://www.religioustolerance.org/hom_exod.htm#know http://jgford.homestead.com/ http://www.eurekalert.org/pub_releas...iw-0302100.php http://www.hrc.org/template.cfm?sect...ontentid=15255 http://psychology.ucdavis.edu/rainbo...reptherapy.pdf http://www.apsa.org/ctf/cgli/reparative_therapy.htm
notsarc,80,"unkerpaulie, thank you for this explanation. boing! eureka! i have finally concretely grasped what a 'strawman' argument is. creating something that does not exist. making mock, in a sense. sorry, i just have to reiterate the term in my terms to paste it firmly into place in my cranium."
notsarc,81,"evolution (allele frequency changes in populations of organisms) is a fact, because it has been observed. the theory of evolution (how various allele propagate through a species) is just that: a theory.  to sound horribly wishy washy, yes it can be both ways. evolution and the theory of evolution are two different things. as far as new organs being produced over time... well organs don't really fossilize, however why can't the fossil record be used to show that organisms change over time? and as far as minor mutations, that has been clearly observed in the lab and in the field.  http://www.eurekalert.org/pub_releas...-dtm031902.php http://www.talkorigins.org/faqs/speciation.html and of course... the infamous peppered moths..."
notsarc,82,"i would never limit myself in a debate to 'how many' generations it takes because the fact is your scientists are afraid to test such things. in the following example it took between 7 and 18 generations for guppies to change their phenotypes. http://www.eurekalert.org/pub_releas...sss-270397.php of course these guys, being evolutionsts explain this phenomenon as happening through natural selection -- death. but what have we already learned about tadpoles?? -- they develop in direct relation to their predators....including body structure. fish are no different."
notsarc,83,http://www.eurekalert.org/pub_releas...-chr053006.php but what does this have to do with the topic at hand?
notsarc,84,"it depends on what kind of faith you are talking about. do you mean 'having faith' in actual things? if so, then most definately. although the world can sometimes be a cruel and horrible place, it can also be a fantastic one, and seeing that (as i'm an athiest) gives me some kind of 'faith' in the human capacity, society, etc (where as a religious person may well have the same reaction for their faith in god)."
notsarc,85,thank you. i discussed with a friend earlier that some moron would take the bait and waste their own time by saying what you just said. it is fantastic as my friend said nobody would be so stupid to waste their time commenting about their disagreement of the debate.
notsarc,86,obama has 1 thing that palin certainly doesn't have is the fantastic ability to turn crowds in favor of him. obama has amazing speech abilities that surpasses palin without a doubt in my mind. palin also likes to go off subject almost as if she is avoiding certain questions.  what is experience if you cannot even thoroughly explain your position?
notsarc,87,"wikipedia is really quite amazing actually. you see the fact that anybody can modify it as a reason to not trust it. that would be a valid concern if it had only a small number of contributors. but, there are millions of contributors. each going over and correcting information supplied by others. in my mind (given the current number of users) wikipedia is a fantastic peer-reviewed source of information."
notsarc,88,"wow that is a fantastic analogy, i love it. and in my personal opinion i do have to say i agree with you."
notsarc,89,it wasn't the best movie ever mind you but it was still fantastic.
notsarc,90,"the 2012 ndaa reiterated the nuaf document from 2001 and also later stated that it must abide the constitution, so it's nothing new. one thing obama, bush, and all other presidents have and will do, is start shit with other countries. yeah it sucks but it's beyond our control, literally and practically. the guy is the commander-in-chief, thereby a war mongering assmite, but nevertheless, his social policies are fantastic. lgbt rights and gay rights, women's rights, i'm down for that. the increase in debt, yeah it's his fault, but whatthefuck would you do? there's no money to be had, and in order to still function, the u.s. needs money. i believe we were beyond the debt horizon years ago, in that we basically have been bought wholesale by china, and this debt is just their mortgage."
notsarc,91,"that's fantastic! i say you go for it, and... um... pics or it didn't happen."
notsarc,92,"yeah, that was all just exaggeration and absurdities from religionist to make the story more fantastic and supernatural. or else nobody will ever join them religion."
notsarc,93,"we do! on npr (which is our national public radio) they play the bbc world news daily. it is a fantastic source, i must agree."
notsarc,94,"jcampbe there is no political or economical theory that supports your assertions. you are putting together wild speculations combined with fantastical day dreams and calling it a guarantee. it won't work because you can't control costs, you can't recruit personnel and no government can sustain the system."
notsarc,95,"i feel the opposite is true. i feel a lack of hierarchy adds complication to the layout. it's pretty functional don't get me wrong. freaking cool site, but i mean you have all this opportunity to explore hierarchy and color (brand = two colors, blue/orange, arguments has 2 choices...). they even dabbled in it a little with the 'add argument' buttons above. the grid structure of the layout seems mildly confusing as well. for instance, the vertical alignments of usernames with their respective arguments could match up more uniquely to aid in clarity. or if the leading (space between lines of text) wasn't so consistent, each 'argument' might be better framed visually, without the addition of graphics or color. obviously, this is not gospel or some fantastic soultion, i just think lack of color could be one of a few ideas on improving clarity and functionality of the site."
notsarc,96,"good sir, doctor who has always been amazing. same with sherlock; it's a fantastic show, and cumberbatch is great playing as holmes."
notsarc,97,"thewayitis, i would say is one of the best debaters on here. he argues his points well, and doesn't relent.  his default picture matches his personality. a wise old man who knows exactly what he's talking about. i would absolutely like to dispute you. thewayitis is a fantastic debater, one whom i respect and often agree with."
notsarc,98,"100x better? that's a lot. it doesn't bother me that dalai lama is human. people love gandhi, and that guy let his wife die because he didn't believe in medicine. then a few days later when gandhi ended up getting sick with the same illness, he accepted the medicine. so he was a bit of a dick, but he was also a little bit brilliant. both the dalai lama and gandhi teach some fantastic messages, and even though they aren't perfect themselves, that doesn't mean some of their messages aren't worthwhile."
notsarc,99,"why not invite a bunch of famous people? de niro is an incredibly interesting guy; my brother used to work on many films with him as a lighting specialist. he was one of the few folks that actually got to know him. scorsese, on the other hand, i'm sure, like you said, has tons of stories and anecdotes, all of which i'd love to hear! i've got my fair share of intellectual, spiritually magnificent people: ghandi, nietzsche and morello are all fantastic people."
notsarc,100,"i would suggest trying out new activities/hobbies she might enjoy. at her age, gymnastics is a fantastic activity, which gets her comfortable with moving her body in different ways and would set her up for a healthy, active lifestyle later on. dance is also fun for children at her age. above all, if she's not already part of one, i would suggest putting her in a preschool program (not a daycare) so she can be around other children her age and learn the fundamentals that will set her up for academic success."
notsarc,101,"this is true but maybe i have add when it comes to reading about something i already know, the book has always been better than the movie to me if i see the movie prior to the book it upsets me already. what i hate the most and i mean absolutely despise is when i see a fantastic movie that is based off of a book. if i haven't read the book i feel like slapping myself in the face for not doing so! to me i just am unable ( really ) to read the book when i know what happens in visual detail ="",20,that's interesting because you are certain to miss something that may just intrigue you in reading the book. a movie is rarely absolute but the book always is.  3_38125,5,fantastic,oh so true. not funny. not to me anyway. it was put together well"
notsarc,102,"...i usually go to the one on morena. and heres why i'm telling you: it's a big ass world out there and you don't know what i look like. also, it's a fantastic costco and i'm proud to shop there."
notsarc,103,"yes they both rock,but the main things is what you're looking for. if your looking for romance,emotion,etc, that type then ya the twilight saga books are great. on the other hand,if you want to enter a world of fantisy,magic,action,etc,then the harry potter series kills anything. the movies of these two are good but not nearly as fantastic as their books. :)"
notsarc,104,spam such as this: http://www.createdebate.com/debate/show/technologies_is_fantastic_for_metal_signs_but_is_it_good_or_bad_for_client_service this one is quite common: http://www.createdebate.com/debate/show/                                       point_of_sale_systems_how_to_choose_a_single_that_is_correct_for_your_company
notsarc,105,"So according to one of the people who conducted the study don't go using their results as a tool for arguing against abortion.One woman I know had an abortion a short time after she was married. I also know she has regrets that she had the procedure. I considered what she had to say about her experience and thought about the 14 year old son she now has. From what she told me, I could plainly see she would never have had her son if she had not had her abortion as her circumstances would have changed beyond recognition. Perhaps she gets depressed about the child she never had because of her abortion. However, her son is a fantastic boy whom she loves very much. So we cannot simplify in quite the way you seem to infer that we can. "
notsarc,106,"This does not mean that the column is fantastic nor imaginative. It may very well be that not all areas of the earth accumulated all types of rock that form the column; this does not mean that the years at which similar columns were deposited in different places in the world are not similar. And of course, even if the Geologic column is not true, this provides no evidence of creationism. "
notsarc,107,"fine. thank you.  what im hearing is that you believe attila should act in accordance with the prevailing moral consensus. how do you define the moral consensus? in attilas case, would that be among the huns? among the hun ruling elite? or should attila act in accordance with a wider consensus of which he (for the sake of argument) has no intimate knowledge?  now why should he act in accordance with the consensus?  this is not completely clear to me. so, do you take the position that moral sentiments are learned?"
notsarc,108,"lol, what did you mean by that? i'm not sure, and dont want to assume the tone you infer with. i thought it was funny but wanted to clarify. ps; i have never called anyone a 'fetus worshiper', although at least that label does not elicit the same evil connotations 'pr-abortion does'. @ simone, no worries hun :)"
notsarc,109,"hun dont let no ones opinions bother you. no one matters but you, because your living your life and its your body. i personally think everyone shold hold off till 16 but im not going to insult you because thats just plain retarded. what gives you people the right to insult someone for asking a question? im not talking about freedom of speech im talking about being a nice person. nobody has manners anymore, i swear."
notsarc,110,"i recommend that gay people stay out of and move out of the state of virginia. thanks to pat the nazi robertson and jerry the hun falwel virginia has become the most hostile in the country towards gay and lesbians. no contract, including wills, powers or attorney, and even the joint purchase of a house, may be made by people of the same sex. this is one of the most evil laws that has been passed and will be used against the surviving spouses of gay people by evil christianist realetives to invalidate wills and powers of attorney's for god's sake stay out of the evil state of virginia"
notsarc,111,"please direct me to this quote. i have his book, the reformation, and he makes it quite clear the numbers are at 2-3 thousand, though some people in the 1700's said it was over 100 thousand, which was impossible. you seem a bit ignorant about the church, let alone the encyclopedia approved by it. the church has a long history of keeping very detailed and very accurate articles. to say that the church's approval is not worth anything is to say attila the hun never went to rome (or italy), that charlamange never existed, and that many of the popes didn't exist.  the savage europeans wern't conquering the americas, so they didn't need to be civilized, as i've already made quite clear. the savage europeans were people like the vikings, not people like the english or french."
notsarc,112,"i am not arguing that business decreases, i am saying that it is not as bad as you make it sound. i'm a bit surprised... you would prefer those small businesses to companies that give billions of dollars to charities?"
